prices,sentiment
36.17,Positive
36.17,Positive
36.17,Positive
45.99,Positive
45.99,Positive
45.99,Positive
45.99,Neutral
45.99,Positive
45.99,Positive
45.99,Positive
45.99,Positive
45.99,Positive
45.99,Positive
45.99,Positive
45.99,Neutral
45.99,Positive
45.99,Positive
45.99,Positive
61.18,Negative
61.18,Neutral
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Negative
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Neutral
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Negative
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Neutral
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Negative
61.18,Neutral
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Neutral
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Negative
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Negative
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Neutral
61.18,Negative
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Neutral
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Neutral
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Negative
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
61.18,Positive
