Carhartt_Ngram_freq,Carhartt_Ngrams
152,they are
135,in the
102,my husband
95,these are
94,pair of
92,and they
81,they fit
73,of the
71,these jeans
62,these shorts
61,and the
60,like the
60,the same
56,for my
56,the waist
55,on the
55,the fit
51,very comfortable
51,fit and
50,to be
47,comfortable and
46,for the
44,they re
43,for work
41,they were
41,if you
39,well made
38,of these
37,fit great
37,fit is
36,great fit
35,jeans are
35,these for
34,are the
33,husband loves
33,these pants
31,of jeans
30,and fit
30,bought these
30,work pants
29,carhartt jeans
29,and these
29,good fit
29,this is
28,they look
28,relaxed fit
27,the pants
27,have been
27,work shorts
26,the jeans
26,to the
26,fit as
26,same size
26,but they
26,as expected
26,out of
25,with the
25,good quality
25,will be
25,to wear
25,fit perfectly
24,the best
24,loves them
24,he loves
24,fit well
23,pairs of
23,for me
23,too small
23,they have
23,well and
23,the pockets
22,another pair
22,the shorts
22,perfect fit
22,the other
22,not too
22,true to
22,loves these
22,the quality
22,too tight
22,love these
22,are very
22,shorts are
21,and are
21,around the
21,the length
21,but the
21,are not
21,and look
21,had to
21,nice and
20,love the
20,you re
20,waist and
20,that they
20,them for
20,to return
20,wear them
20,and comfortable
20,the way
20,to size
20,hold up
20,length is
19,at the
19,pants and
19,the material
19,is perfect
19,than the
19,carhartt pants
19,jeans but
19,like they
18,and have
18,great quality
18,the carhartt
18,but these
18,it is
18,the price
18,but not
18,other carhartt
18,been wearing
18,better than
18,to get
18,going to
18,jeans for
18,way too
18,work and
17,love them
17,from carhartt
17,to work
17,long time
17,second pair
17,because they
17,these fit
17,wish they
17,are comfortable
17,them to
17,as the
17,is great
17,durable and
17,need to
17,buy again
16,great and
16,the legs
16,feel like
16,are great
16,quality and
16,pockets are
16,very well
16,shorts that
16,do not
16,pants are
16,like these
16,which is
16,too long
16,be buying
16,as well
15,look great
15,and not
15,of pants
15,the denim
15,these were
15,in my
15,the knee
15,other jeans
15,for years
15,my new
15,the only
15,jeans fit
15,the front
15,looking for
14,above the
14,the right
14,waist size
14,most comfortable
14,of carhartt
14,and he
14,is very
14,and durable
14,used to
14,so much
14,than expected
14,the size
14,of them
14,very good
14,to find
14,deep pockets
14,will buy
14,pants for
14,look nice
14,last long
14,and it
14,compared to
14,would be
14,on my
14,so far
14,carhartt shorts
13,fit perfect
13,they will
13,very nice
13,them on
13,fit was
13,belt loops
13,skinny jeans
13,is my
13,other brands
13,the first
13,one pair
13,and feel
13,they feel
13,about the
13,great for
13,shorts fit
13,made and
13,great jeans
13,of shorts
13,not as
13,material is
13,all the
13,really like
13,if they
13,pants fit
12,just right
12,from the
12,kind of
12,is not
12,just what
12,shorts for
12,perfect for
12,ordered the
12,my other
12,they don
12,the stretch
12,work jeans
12,longer than
12,jeans and
12,denim shorts
12,jeans that
12,look good
12,shorts they
12,is the
12,size and
12,to fit
12,cell phone
12,super comfortable
12,size up
12,loves the
11,lighter weight
11,have worn
11,quality of
11,the most
11,is good
11,jeans the
11,tight on
11,fit good
11,he has
11,jean shorts
11,in them
11,it was
11,what you
11,fits as
11,seem to
11,because of
11,are made
11,very durable
11,so they
11,than other
11,with them
11,to order
11,with these
11,the thighs
10,new favorite
10,of my
10,and quality
10,happy with
10,pair and
10,that the
10,like them
10,jeans ve
10,the inseam
10,you have
10,is bit
10,got these
10,all of
10,have to
10,good and
10,is little
10,have bought
10,fits great
10,perfect and
10,them so
10,fit him
10,them they
10,pockets and
10,are my
10,loose fit
10,quality product
10,buying more
10,fit nice
10,little bit
10,work in
10,is just
10,great pair
10,denim is
10,them and
10,shorts have
10,the last
10,my son
10,my size
10,great pants
10,husband is
10,because the
10,did not
10,pants in
10,how they
10,great shorts
10,the back
10,wearing them
9,were too
9,as they
9,than my
9,does not
9,first time
9,but he
9,jeans have
9,shorts were
9,but it
9,lot of
9,looks great
9,was very
9,for working
9,other than
9,was looking
9,not to
9,these to
9,ordering more
9,on these
9,lined jeans
9,shorts the
9,not the
9,fit the
9,great price
9,very pleased
9,decided to
9,return them
9,what expected
9,what was
9,you need
9,waist but
9,little tight
9,up to
9,and will
9,should be
9,look like
9,they hold
9,carhartt is
9,light weight
9,shorts and
9,is too
9,to buy
9,bit of
9,time and
9,wear these
9,you can
9,soft and
9,pleased with
9,one size
9,the color
9,legs are
9,are good
8,made in
8,were very
8,ve bought
8,in your
8,there is
8,fan of
8,them because
8,any other
8,fit but
8,when you
8,that have
8,instead of
8,inch inseam
8,fit very
8,fit like
8,they do
8,pair for
8,on him
8,and very
8,are just
8,front pockets
8,for him
8,quality great
8,two pair
8,one of
8,more of
8,the sizing
8,ve ever
8,that fit
8,they ll
8,them the
8,loved them
8,jeans they
8,rugged flex
8,very happy
8,are little
8,go to
8,color and
8,ordered these
8,can wear
8,not what
8,wearing these
8,highly recommend
8,are well
8,it fits
8,exactly what
8,great product
8,length and
8,to other
8,the extra
8,he says
8,the fabric
8,great work
8,are perfect
8,to my
8,at least
8,to last
8,to make
8,hard to
8,the picture
8,enough for
8,this pair
8,ever owned
8,not like
7,fits well
7,hammer loop
7,thank you
7,smaller than
7,jeans he
7,fit they
7,fit fine
7,to them
7,ve been
7,these carhartt
7,at work
7,excellent quality
7,you are
7,that are
7,be little
7,in these
7,the crotch
7,not sure
7,way to
7,order again
7,size as
7,ll be
7,fit better
7,the wrong
7,waist is
7,the next
7,material and
7,returned them
7,and fits
7,pants that
7,have purchased
7,more pairs
7,than that
7,are bit
7,long lasting
7,like it
7,to keep
7,the winter
7,carhartt and
7,am very
7,and get
7,these and
7,just the
7,and good
7,they came
7,your pocket
7,these as
7,that was
7,and great
7,just like
7,first pair
7,the house
7,shorts but
7,too baggy
7,says they
7,comfortable for
7,pair in
7,liked them
7,nice fit
7,are still
7,straight leg
7,fit right
7,but like
7,are so
7,they would
7,best fitting
7,good price
7,have ever
7,tall and
7,fit my
7,just enough
7,and am
7,at all
7,just above
7,years now
7,will last
7,couple of
7,of stretch
7,less than
7,my first
7,fleece lined
7,but still
7,them in
7,other pants
7,side pockets
7,years ago
7,are super
7,up well
7,the past
7,nice jeans
7,the seat
7,an inch
7,he is
7,room in
7,much better
7,carhartt products
7,of work
7,the side
7,my knees
7,but if
7,high quality
6,jeans with
6,enough to
6,36 waist
6,stretch to
6,as gift
6,jeans as
6,down to
6,comfortable jeans
6,light and
6,bought carhartt
6,though they
6,was too
6,can get
6,comfortable to
6,these have
6,and arrived
6,as advertised
6,call them
6,even though
6,my favorite
6,size 34
6,my boyfriend
6,cold weather
6,don like
6,last year
6,he likes
6,34 waist
6,were little
6,felt like
6,comfortable fit
6,like carhartt
6,bought the
6,the durability
6,have other
6,more comfortable
6,not be
6,these they
6,the job
6,too large
6,more like
6,tight in
6,have pair
6,and durability
6,inseam is
6,he wears
6,the thigh
6,you expect
6,ve tried
6,and well
6,they stretch
6,and is
6,since they
6,and my
6,32 32
6,they should
6,they run
6,with my
6,this product
6,way they
6,would buy
6,gift for
6,got them
6,nice quality
6,nice shorts
6,several years
6,to small
6,size in
6,get the
6,fit for
6,new pair
6,are nice
6,now and
6,jeans so
6,could be
6,style of
6,good looking
6,the rear
6,weight than
6,of their
6,and warm
6,likes them
6,thinner than
6,this brand
6,has been
6,best jeans
6,easy to
6,would like
6,very warm
6,was the
6,said they
6,would recommend
6,pants they
6,favorite pair
6,and for
6,didn even
6,waist fits
6,the time
6,favorite jeans
6,long and
6,they didn
6,are comfy
6,fabric is
6,comfortable work
6,with other
6,them but
6,fitting jeans
6,little too
5,expected from
5,too loose
5,flannel lined
5,my belt
5,he liked
5,and was
5,them again
5,use them
5,before they
5,bit snug
5,stretch and
5,have some
5,for long
5,size for
5,as described
5,run small
5,will definitely
5,pair to
5,to do
5,wear the
5,them back
5,loved the
5,33 waist
5,normal size
5,looks like
5,these in
5,time to
5,and last
5,more soon
5,and length
5,lots of
5,expected and
5,color is
5,on time
5,quality is
5,exact same
5,who is
5,as good
5,to say
5,my cell
5,and nice
5,pockets on
5,quality denim
5,as heavy
5,in less
5,these because
5,fit comfortable
5,the knees
5,fit in
5,have the
5,expect from
5,bit tight
5,love carhartt
5,stretch is
5,pants but
5,usually wear
5,recommend these
5,you will
5,too big
5,to big
5,not fit
5,to try
5,carhartt has
5,and baggy
5,phone pocket
5,the leg
5,some of
5,than what
5,them he
5,are true
5,be ordering
5,it not
5,are too
5,would have
5,so when
5,that these
5,over the
5,they last
5,buy these
5,buy them
5,they make
5,pair ordered
5,fit true
5,ll last
5,best work
5,this was
5,with this
5,the summer
5,well they
5,the original
5,comfy and
5,able to
5,the old
5,pants the
5,that you
5,are as
5,as comfortable
5,feel great
5,and seem
5,they seem
5,and really
5,highly recommended
5,worn out
5,two pairs
5,to move
5,the pocket
5,was expecting
5,good product
5,every day
5,made well
5,working in
5,might be
5,work short
5,but this
5,the regular
5,was great
5,they wear
5,all my
5,we re
5,well built
5,worn them
5,go up
5,fit me
