Lee_Ngram_freq,Lee_Ngrams
1517,these jeans
1443,they are
1376,in the
1059,these are
963,pair of
866,of the
859,they fit
854,lee jeans
815,my husband
793,and they
735,and the
728,very comfortable
630,of jeans
616,the waist
604,the fit
599,fit and
580,jeans are
559,the same
556,the jeans
551,like the
512,for my
495,these pants
494,to be
476,on the
473,comfortable and
449,are the
432,as expected
423,they were
403,fit great
400,they re
400,for the
400,jeans for
397,of these
377,most comfortable
370,to find
367,the best
364,great fit
362,at the
360,if you
359,with the
348,jeans and
347,for me
345,jeans that
338,and fit
334,this is
333,jeans fit
330,comfortable jeans
328,to the
311,jeans have
309,the color
307,are very
301,the most
299,love these
298,but they
298,fit well
295,love the
293,but the
288,the material
284,the pants
283,jeans they
281,to wear
276,the stretch
273,the price
264,is the
262,fit is
259,they look
254,the only
251,fit as
248,will be
248,good quality
247,have to
243,good fit
241,it is
238,and are
237,perfect fit
235,jeans ve
234,these for
230,are great
230,fit perfectly
230,ve ever
228,look great
224,jeans but
222,that they
220,great and
220,another pair
219,have been
218,waist and
218,are not
217,great jeans
216,to buy
215,hard to
214,for work
213,the way
210,they have
207,pants are
206,well and
206,regular fit
204,than the
204,my son
203,it was
202,and look
202,to get
202,them on
201,bought these
201,these fit
200,pairs of
198,just right
196,and these
196,the fabric
192,all the
190,the lee
188,the crotch
186,the right
185,and have
185,the first
184,fit me
184,is very
182,have ever
182,the size
180,the quality
179,love them
178,better than
178,size and
178,same size
175,the legs
175,you can
175,of lee
175,used to
173,for years
173,in my
172,is great
171,that fit
171,will buy
170,material is
169,ever owned
168,look good
168,very good
167,jeans in
167,is not
166,not too
166,happy with
166,and comfortable
164,best jeans
160,fit perfect
160,too tight
160,and feel
160,to fit
159,wear them
159,as well
159,and he
158,are comfortable
158,but these
158,do not
157,extreme motion
157,out of
157,seem to
156,had to
156,the length
155,them to
153,looking for
152,the other
151,would be
151,around the
149,quality and
149,very happy
147,buy again
147,them for
146,great price
146,been wearing
146,good and
146,loves them
146,he loves
144,look like
144,very well
143,that the
143,my favorite
143,these were
142,other jeans
141,them and
141,loves these
140,straight leg
140,husband loves
139,feel like
139,jeans the
139,thank you
138,true to
138,is good
138,well made
138,but not
137,going to
137,so much
137,fit just
137,ve been
136,at all
136,and not
134,second pair
134,which is
134,and it
134,to size
134,the back
134,in them
133,fit was
133,did not
133,with these
132,super comfortable
131,jeans were
130,because they
129,my size
129,really like
129,of pants
128,ever worn
128,like them
127,pants fit
126,fit very
126,buy more
125,these lee
125,this pair
125,from the
124,go to
123,color and
123,they don
123,but it
122,as the
121,and very
121,are my
121,very nice
120,to my
119,fit the
119,you re
117,to have
117,and will
116,color is
115,in these
115,jeans he
115,to order
115,good price
115,so comfortable
115,perfect for
114,them in
113,be buying
