Dickies_Ngram_freq,Dickies_Ngrams
593,they are
523,these pants
502,work pants
485,in the
352,these are
337,and they
311,my husband
309,they fit
304,for work
296,of the
280,pair of
269,the waist
266,and the
252,for the
235,for my
225,the same
223,the pants
220,pants are
217,on the
199,the price
187,to be
185,pants for
168,they were
165,of these
160,they re
159,as expected
145,but they
144,these for
139,are great
138,like the
136,the fit
135,the material
134,fit great
131,but the
127,to the
126,great pants
124,these jeans
124,hold up
123,if you
117,great work
117,pants and
115,have to
115,fit and
114,bought these
113,same size
113,fit well
112,very comfortable
112,good quality
111,to wear
108,at the
107,are very
106,to get
102,them for
101,to work
100,than the
100,very durable
100,for me
99,too small
98,material is
98,pockets are
98,comfortable and
97,fit as
96,work and
96,had to
96,pants fit
96,out of
95,and are
94,of pants
94,pants they
93,pants that
93,well and
92,wear them
91,relaxed fit
91,and fit
91,the pockets
90,durable and
90,pairs of
89,will be
89,and these
88,with the
88,great fit
87,my son
87,great price
87,love these
86,well made
85,this is
85,that the
85,have been
85,pants but
83,great and
83,around the
83,them to
82,heavy duty
78,love the
78,great for
77,waist and
77,are the
76,the size
76,too tight
76,of work
75,fit is
75,that they
75,the only
75,the other
74,and have
73,seem to
73,long time
73,great quality
72,to find
71,is the
70,up to
69,very well
69,and he
69,husband loves
68,they have
68,them on
68,all the
67,work in
67,love them
67,fit perfectly
66,the right
66,them and
65,good fit
65,the color
65,for years
64,another pair
64,and durable
64,work pant
63,the side
63,and it
63,just as
62,loves these
61,waist size
61,happy with
61,are not
60,they will
60,the jeans
60,to size
60,is very
60,will buy
60,size up
59,way too
59,size and
58,the fabric
58,which is
58,the dickies
58,looking for
58,smaller than
58,than expected
57,would be
57,jeans are
57,to return
57,hard to
57,perfect for
57,work jeans
56,the quality
56,true to
56,the legs
56,the best
56,fit perfect
56,up well
55,the length
55,it is
55,with these
55,it was
55,in my
55,and will
55,longer than
55,quality and
55,to fit
54,the first
54,just right
53,the front
52,waist is
52,did not
52,to order
52,the leg
52,of jeans
52,are comfortable
51,to buy
51,better than
51,of dickies
51,them they
51,so far
51,and comfortable
50,my size
50,is that
50,cell phone
50,good for
50,of my
50,in them
50,they hold
49,the knees
49,pants have
49,jeans and
49,good price
49,side pocket
49,need to
49,but it
49,jeans for
48,these were
48,as well
48,front pockets
48,buy again
48,little tight
48,but not
48,carpenter jeans
47,they do
47,they last
47,loves them
47,you can
47,are just
47,to have
47,is good
47,these fit
46,do not
46,them in
46,from the
46,last long
46,lot of
46,exactly what
46,is not
46,perfect fit
46,wear these
45,fit just
45,as the
45,are little
45,on my
44,are good
44,he loves
44,will last
44,one size
44,good work
44,like these
43,pair and
43,this pair
43,very happy
43,been wearing
42,as they
42,double knee
42,because they
42,pocket on
42,the pocket
42,enough to
42,very good
42,buy these
41,ordered these
41,not as
41,thank you
41,material and
41,the double
41,too long
41,tight in
41,fit good
40,pants in
40,dickies pants
40,that fit
40,these work
40,going to
40,fabric is
40,the way
40,is great
40,and very
40,really like
39,size is
39,they seem
39,like them
39,wearing them
39,more like
39,pants were
39,good pants
39,nice pants
39,you have
39,but still
38,compared to
38,look good
38,and good
38,ordered the
38,he is
38,the crotch
38,buy more
38,my work
38,fit my
37,they look
37,and wear
37,would have
37,great product
37,made and
37,second pair
37,used to
37,work they
37,with them
37,he has
36,way to
36,good and
36,are made
36,wear out
36,ve been
36,very nice
36,want to
36,and not
36,one pair
36,are perfect
36,color and
35,to go
35,and look
35,at all
35,get them
35,different colors
35,for working
35,buy them
35,made in
35,first pair
35,like they
34,to small
34,time and
34,because of
34,on these
34,have the
34,they would
34,the last
34,not too
34,of them
34,if they
34,these and
34,the money
34,be buying
34,pants the
34,fit was
