Wrangler_Riggs_Ngram_freq,Wrangler_Riggs_Ngrams
339,they are
273,in the
239,these jeans
231,these are
218,my husband
181,of the
178,on the
168,and they
151,pair of
145,and the
141,these pants
138,for work
130,for my
123,they fit
119,for the
116,work jeans
114,work pants
100,to be
99,the waist
94,are the
94,like the
92,jeans are
90,fit and
88,hold up
83,to the
83,the fit
83,of these
83,if you
82,well made
81,these for
80,the jeans
78,heavy duty
77,the pants
73,jeans and
72,they were
71,the best
70,very comfortable
69,they re
69,jeans for
69,comfortable and
67,the same
67,as expected
65,are very
64,are great
64,to wear
63,very well
62,with the
62,of jeans
62,the price
61,pants are
59,but they
58,the only
56,and are
56,to work
54,pants for
54,the crotch
53,good quality
53,this is
53,relaxed fit
52,jeans that
52,pockets are
51,have been
51,that they
51,fr jeans
50,at the
50,will be
48,the pockets
48,to get
48,have to
48,better than
48,but the
48,love the
48,husband loves
47,them for
47,bought these
47,fit great
47,jeans have
45,well and
44,and these
44,all the
44,the legs
43,the right
43,work in
43,they have
43,loves these
42,in my
42,and he
42,for me
42,is the
42,love these
41,and fit
41,great for
40,them to
40,so far
40,the front
40,fit is
40,they will
39,the extra
38,the pocket
38,than the
38,work and
38,had to
37,he loves
37,around the
37,pockets and
37,the first
37,seem to
37,the way
37,fit well
36,will buy
36,fit as
36,long time
36,that the
36,jeans but
35,great fit
35,wear out
35,the leather
35,it is
35,pants they
35,is very
34,he is
34,to find
34,of them
34,the material
34,as well
34,out of
34,the other
34,happy with
34,to buy
33,belt loops
33,and comfortable
33,pairs of
33,for years
33,loves them
33,jeans they
32,great pants
32,used to
32,up to
32,pants and
32,they look
32,great work
31,great jeans
31,if they
31,deep pockets
31,the double
31,one pair
31,the riggs
30,and have
30,my son
30,to size
30,compared to
30,wear them
30,to move
30,are made
29,up well
29,best work
29,they last
29,are not
29,tape measure
29,lot of
28,and very
28,are comfortable
28,other brands
28,true to
28,need to
28,quality and
28,longer than
28,like these
28,that is
28,do not
28,very durable
27,hammer loop
27,of work
27,very good
27,of my
27,the back
27,perfect fit
27,too small
27,the quality
27,you can
26,durable and
26,buy again
26,them and
26,them in
26,back pockets
26,because they
26,the money
26,fr pants
26,the knees
26,they do
26,great and
26,same size
26,and durable
26,been wearing
26,good fit
26,in them
26,hard to
25,but that
25,and will
25,have the
25,they hold
25,the size
25,waist and
25,have ever
25,from the
25,very happy
25,pants have
25,double knee
25,looking for
25,them on
25,ve been
25,perfect for
24,great quality
24,have bought
24,at work
24,highly recommend
24,husband is
24,would have
24,did not
24,really like
23,the side
23,than that
23,pants fit
23,the fabric
23,riggs workwear
23,like they
23,another pair
23,look good
23,good jeans
23,they don
23,and wear
22,first pair
22,plenty of
22,second pair
22,to go
22,would recommend
22,ordered these
22,to order
22,pants that
22,riggs jeans
22,on my
22,are perfect
22,my favorite
22,but these
22,enough to
22,wrangler jeans
22,material is
22,the most
22,through the
22,jeans fit
22,wrangler riggs
22,will last
21,other than
21,great price
21,going to
21,are good
21,fit like
21,that are
21,of room
21,worth the
21,way to
21,great product
21,wearing them
21,other jeans
21,bought them
21,last long
21,of pants
20,to try
20,size and
20,have purchased
20,they would
20,nice and
20,want to
20,recommend these
20,front pockets
20,working in
20,jeans ve
20,fit was
20,fit perfectly
20,but not
20,them they
20,that these
20,you are
20,be buying
20,all of
20,would be
20,them so
20,decided to
20,is that
20,is great
20,buy more
20,work wear
19,but it
19,and it
19,that have
19,front pocket
19,very nice
19,to my
19,they seem
19,likes the
19,which is
19,to have
19,and my
19,more of
19,good for
19,room to
19,and not
19,the length
19,holding up
19,he has
18,just right
18,the hammer
18,jeans with
18,you re
18,in all
18,most comfortable
18,way they
18,like them
18,just what
18,jeans the
18,just as
18,he works
18,look like
18,to fit
18,best jeans
18,at all
18,is good
18,go to
18,fit very
18,the top
18,and look
18,it was
17,been buying
17,the belt
17,recommend them
17,wear these
17,very heavy
17,the past
17,room in
17,feel like
17,the reinforced
17,wear and
17,smaller than
17,there is
17,look great
17,these have
17,these fit
17,held up
17,me to
17,regular jeans
17,good and
17,these and
17,is my
17,are little
17,jeans in
17,out the
17,pair for
17,really likes
17,so much
17,not the
17,love them
17,jeans were
17,fit perfect
17,the wrangler
17,and heavy
16,more than
16,than other
16,time and
16,with these
16,big and
16,and great
16,more comfortable
16,likes them
16,ordered the
16,wish they
16,the last
16,the job
16,than expected
16,but still
16,when they
16,loves the
16,there are
16,you need
16,top of
16,up and
16,heavy denim
16,tough and
16,size up
16,are heavy
16,due to
16,any other
16,ve ever
16,ve had
16,two pair
16,these work
16,years and
16,buy these
16,work they
16,buying these
16,buying more
16,on his
15,when you
15,good price
15,waist is
15,watch pocket
15,every day
15,he said
15,have worn
15,too long
15,is perfect
15,stand up
15,for working
15,fit for
15,because of
15,jeans my
15,pants but
15,fit good
15,for him
15,that fit
15,the leg
15,he likes
15,with them
15,the deep
15,are well
15,than most
15,as the
15,as they
15,will definitely
15,you have
15,in construction
15,over the
15,at least
14,the denim
14,fit just
14,the work
14,we have
14,out in
14,are too
14,carpenter jeans
14,the thighs
14,pair and
14,he wears
14,fit my
14,will not
14,well as
14,purchased these
14,kind of
14,works in
14,are my
14,of riggs
14,one size
14,long lasting
14,pants were
14,my jeans
14,exactly what
14,am very
14,ve tried
14,very pleased
14,material and
14,on these
14,and last
14,they still
14,my size
14,to see
14,too tight
14,fit the
14,was not
14,they wear
14,hard on
14,way too
14,is too
14,this product
14,one of
14,good work
13,size larger
13,to hold
13,by the
13,crotch area
13,side pocket
13,not as
13,so they
13,length is
13,how they
13,two pairs
13,like my
13,be ordering
13,as work
13,extra room
13,well built
13,the next
13,thank you
13,get them
13,the inside
13,waist size
13,the seat
13,pants to
13,and hold
13,wear well
13,exactly as
13,put them
13,they ve
13,the product
13,the rear
13,they feel
13,for about
13,they did
13,thick and
13,ever owned
13,bought two
13,jeans so
13,made and
13,leather patch
13,quality jeans
13,years ago
13,will wear
13,carpenter pants
13,the fact
13,had them
13,seems to
13,does not
13,made of
13,too big
13,the thigh
13,layer of
12,get the
12,that was
12,wears them
12,give them
12,fits good
12,so that
12,would buy
12,rugged and
12,are durable
12,good pants
12,not to
12,much better
12,fit in
12,and feel
12,good as
12,more pairs
12,nice jeans
12,fit of
12,well constructed
12,and tough
12,after washing
12,are still
12,as advertised
12,work jean
12,what you
12,not fit
12,right pocket
12,front of
12,light weight
12,about the
12,construction and
12,bought pair
12,heavy and
12,these they
12,couple of
12,able to
12,was looking
12,the winter
12,favorite jeans
12,pleased with
