ZLZ_Ngram_freq,ZLZ_Ngrams
243,they are
181,these jeans
180,they fit
158,and they
138,these pants
138,in the
132,pair of
124,and the
114,these are
111,of the
103,the jeans
102,they re
99,very comfortable
97,comfortable and
90,the fit
86,fit and
84,the color
82,for the
77,for my
75,the pants
74,if you
74,of jeans
70,on the
70,jeans are
68,the price
67,like the
67,fit great
67,skinny jeans
65,the material
64,but they
63,love the
62,to be
62,and it
60,fit perfectly
60,pants are
60,they were
60,slim fit
58,great fit
57,love these
54,the black
54,this is
54,the waist
52,to the
50,my son
50,as expected
50,and fit
49,will be
48,they look
47,jeans fit
46,look great
46,for me
44,jeans and
42,jeans ve
42,of these
42,it is
41,love them
41,are very
41,most comfortable
40,to buy
40,but the
40,fit perfect
40,color is
40,stretchy and
40,with the
40,good quality
39,the length
39,jeans that
39,the only
39,is the
39,perfect fit
39,the best
38,but it
38,to wear
38,nice and
38,it was
38,that they
37,and look
37,at the
37,at all
36,great and
36,the way
36,another pair
36,the stretch
35,them and
35,and are
35,have to
35,material is
35,the quality
34,looking for
34,are great
34,the smell
34,soft and
34,and these
34,the first
33,super comfortable
33,fit is
33,in different
33,fit as
33,it fits
33,are the
32,too tight
32,not too
32,these for
32,you can
32,is not
32,is very
32,ve ever
32,of pants
31,the same
31,jeans have
31,different colors
31,the most
31,wear them
31,very stretchy
31,second pair
30,the size
30,but not
30,them on
30,to get
30,of my
30,they have
30,size and
30,my husband
29,fit well
29,jeans they
29,is that
29,going to
29,waist and
28,to find
28,great jeans
28,is perfect
28,jeans but
28,pair in
28,in my
28,ordered the
28,so much
27,them to
27,other colors
27,them in
27,is great
27,them for
27,better than
27,to size
27,as well
27,because they
27,my favorite
27,just right
27,like it
26,are so
26,very well
26,buying more
26,than expected
26,very nice
26,and he
26,true to
26,to order
25,comfortable jeans
25,good fit
25,the fabric
25,would be
25,jeans for
25,all the
24,highly recommend
24,with my
24,well and
24,happy with
24,and very
24,that the
24,but these
24,of stretch
24,be buying
24,and have
23,loves them
23,from the
23,is good
23,these fit
23,size smaller
23,look and
23,and comfortable
23,are comfortable
23,the legs
23,quality and
23,length is
22,fit me
21,with these
21,that these
21,love it
21,on my
21,pairs of
21,you are
21,like them
21,perfectly and
21,on me
20,and feel
20,is my
20,pants that
20,color and
20,in these
20,out of
20,that fit
20,are stretchy
20,and not
20,hard to
20,washed them
20,great pants
20,and stretchy
20,are really
20,bought these
20,favorite jeans
20,ever worn
20,than the
19,my jeans
19,thank you
19,the right
19,kind of
19,the blue
19,it looks
19,the picture
19,because of
19,got the
19,buy again
19,look good
19,one of
19,buy more
19,very good
19,did not
19,was looking
19,they feel
19,this product
19,stretch and
19,they don
19,ordered size
18,the product
18,so comfortable
18,had to
18,fit like
18,and ordered
18,the other
18,like these
18,you re
18,decided to
18,fits great
18,size 32
18,jeans the
18,waist size
17,which is
17,so far
17,from this
17,32 waist
17,he loves
17,ordering more
17,not skinny
17,they will
17,are perfect
17,get the
17,skinny fit
17,my only
17,but that
17,more pairs
17,but still
17,are not
17,pants for
17,size down
17,would buy
17,around the
17,fabric is
17,too long
17,and good
16,more colors
16,first time
16,fit my
16,really good
16,be ordering
16,bought the
16,best jeans
16,my legs
16,fit but
16,feel like
16,black jeans
16,have been
16,too big
16,you want
16,wish they
16,to have
16,this brand
16,more of
16,way too
16,perfect for
16,well made
16,pants fit
16,fit jeans
16,so it
16,fit was
16,32 and
16,them they
16,to my
16,got these
16,because the
15,to go
15,long but
15,good and
15,these were
15,too loose
15,ll be
15,great the
15,and stretch
15,used to
15,different color
15,for work
15,feel great
15,them so
15,great quality
15,looks great
15,to them
15,look like
15,bought them
15,really like
15,fit very
15,fits perfectly
15,and you
15,exactly what
15,size up
15,fit the
15,quality of
15,as the
14,ordered more
14,to fit
14,so they
14,of skinny
14,and will
14,jeans were
14,what was
14,if they
14,extremely comfortable
14,got them
14,enough to
14,he is
14,quality is
14,want to
14,have ever
14,they stretch
14,in them
14,and color
14,what you
14,will buy
14,quality for
14,ve been
14,pair and
14,that was
14,super stretchy
14,other clothes
14,these in
14,the bottom
13,perfect and
13,in black
13,was perfect
13,amount of
13,and great
13,smell like
13,them the
13,very happy
13,material and
13,fit so
13,great product
13,lot of
13,not as
13,first pair
13,do not
13,my size
13,wearing them
13,little bit
13,jeans ever
13,as they
13,thighs and
13,jeans to
13,will definitely
13,the reviews
13,not the
13,and my
13,good but
13,are super
13,jeans from
13,fits perfect
13,this pants
13,usually wear
13,put them
13,pants and
13,have the
13,are amazing
13,comfy and
13,it fit
13,it will
12,this company
12,look nice
12,jeans these
12,had them
12,seem to
12,fit they
12,chemical smell
12,seems to
12,and quality
12,to try
12,just ordered
12,it and
12,nice fit
12,and fits
12,jeans in
12,as described
12,it not
12,too short
12,are bit
12,the perfect
12,are nice
12,is nice
12,more in
12,new pair
12,down to
12,they had
12,the olive
12,however the
12,lots of
12,smaller size
12,the crotch
12,and love
12,if it
12,looks good
12,fit nice
12,on these
12,and don
12,other than
12,to see
12,pants were
12,need to
12,tight and
12,great but
12,great price
12,work and
12,that it
12,only complaint
12,liked the
12,really comfortable
11,of black
11,they still
11,pants have
11,wash them
11,the thighs
11,wear size
11,love this
11,loves these
11,able to
11,smaller than
11,to return
11,about the
11,more like
11,about these
11,is little
11,the colors
11,and soft
11,with them
11,jeans look
11,is so
11,the look
11,colors and
11,them but
11,jeans so
11,washing them
11,and was
11,when you
11,black and
11,them out
11,are my
11,year old
11,that have
11,was too
11,would recommend
11,my other
11,color was
11,34 waist
11,there was
11,and can
11,comfortable they
11,back and
11,size 36
11,not sure
11,only thing
11,can get
11,after washing
11,size 30
11,fitting jeans
11,and am
11,just as
11,over the
11,on him
11,but like
11,ever owned
11,pants they
11,fit just
11,tighter than
11,more pair
11,are good
11,ordered these
11,the style
11,stretchy material
11,these have
11,hold up
11,jeans very
11,due to
11,great for
11,length and
11,go away
11,out and
11,really nice
10,ever bought
10,at first
10,and got
10,rid of
10,it has
10,all my
10,size 34
10,at least
10,pants the
10,so you
10,as it
10,like my
10,tall and
10,as good
10,it very
10,they smell
10,how long
10,fit him
10,fits well
10,black ones
10,to wash
10,stretch to
10,jeans with
10,good pair
10,you have
10,ordered another
10,this pair
10,size 38
10,stretchy but
10,tried them
10,the future
10,little long
10,wore them
10,the ankle
10,they would
10,ordered two
10,comfortable fit
10,comfortable but
10,after the
10,for these
10,would have
10,that is
10,first wash
10,since they
10,my second
10,are little
10,are extremely
10,and slim
10,pair the
10,little more
10,but just
10,jeans is
10,stretchy so
10,fit better
10,pants look
10,some of
10,tight but
10,how they
10,son loves
10,stretch in
10,one size
10,more than
10,than that
10,nice jeans
10,it doesn
10,got size
10,go to
10,they aren
10,my new
10,get rid
10,normally wear
10,great they
9,nice stretch
9,nice but
9,get them
9,so comfy
9,too large
9,so soft
9,the rust
9,way to
9,way they
9,two more
9,bit too
9,the time
9,and would
9,says they
9,longer than
9,have ordered
9,bit long
9,complaint is
9,long they
9,make sure
9,comfortable to
9,that are
9,material feels
9,re great
9,my pants
9,for him
9,comfortable pair
9,they do
9,am very
9,but have
9,now they
9,are just
9,that you
9,be the
9,stretch is
9,son and
9,was great
9,super comfy
9,very soft
9,but this
9,liked them
9,it out
9,still look
9,and even
9,was not
9,wanted to
9,buy these
9,you get
9,buy another
9,ended up
9,waist is
9,my grandson
9,only problem
9,could have
9,can do
9,grey olive
9,enough for
9,to keep
9,ve bought
9,feels great
9,new favorite
9,best pair
9,the wash
9,bought two
9,plan on
9,long enough
9,and this
9,this was
9,the leg
9,comfort and
9,good price
9,just the
9,in all
9,and that
9,legs are
9,jeans just
9,pairs in
9,legs and
8,even though
8,black pants
8,fit for
8,was expecting
8,it to
8,black pair
8,it still
8,two pairs
8,jeans will
8,my first
8,fit on
8,order more
8,pants but
8,nice quality
8,well they
8,and feels
8,and get
8,was little
8,other jeans
8,as advertised
8,and looks
8,ordered 32
8,few washes
8,instead of
8,so stretchy
8,me to
8,after few
8,because it
8,is super
8,very comfy
8,or two
8,stretch material
8,stretch jeans
8,made and
8,be too
8,will order
8,be little
8,is what
8,don know
8,up and
8,so if
8,pants online
8,favorite pair
8,and still
8,the dye
8,athletic build
8,that can
8,are skinny
8,style and
8,the fact
8,and no
8,order size
8,rust color
8,were perfect
8,love how
8,away after
8,best fitting
8,were little
8,jeans it
8,waist but
8,re very
8,it feels
8,on amazon
8,them with
8,you like
8,good pants
8,the tag
8,smells like
8,of them
8,just like
8,no complaints
8,like that
8,absolutely love
8,think they
8,high quality
8,to purchase
8,just little
8,by far
8,definitely be
8,the second
8,comfortable the
8,to make
8,price and
8,not slim
8,long time
8,crotch area
8,blue and
8,them all
8,you don
8,they ll
8,perfect the
8,34 and
8,with this
8,zlz jeans
8,highly recommended
7,two sizes
7,on and
7,big and
7,legs but
7,they can
7,36 and
7,smell that
7,the description
7,and just
7,easy to
7,very much
7,smell to
7,and super
7,very long
7,far the
7,the dark
7,me the
7,to big
7,in size
7,the 32
7,is they
7,not like
7,have is
7,was worried
7,pants is
7,all day
7,good for
7,next time
7,pants in
7,are awesome
7,and so
7,it hard
7,nothing like
7,or too
7,good on
7,size is
7,worth it
7,but if
7,brand of
7,really well
7,the feel
7,and size
7,about them
7,the white
7,to tight
7,fit really
7,long for
7,who is
7,by the
7,jeans own
7,ve had
7,loved them
7,good jeans
7,fabric and
7,jeans on
7,great color
7,can wear
7,in other
7,are looking
7,loose in
7,ve tried
7,slim and
7,compared to
7,they did
7,other reviews
7,little longer
7,them he
7,expected and
7,so well
7,on buying
7,he has
7,makes them
7,came in
7,but when
7,not tight
7,now and
7,out the
7,pockets are
7,quality jeans
7,in blue
7,re super
7,out to
7,have purchased
7,these and
7,returned them
7,fit in
7,should be
7,re so
7,these so
7,getting more
7,on how
7,feel and
7,fit good
7,can be
7,to me
7,me but
7,even better
7,them because
7,even after
7,it for
7,dark blue
7,with it
7,nice pants
7,product is
7,are well
7,see if
7,size 28
7,the back
7,didn have
7,it does
7,and wear
7,the pant
7,size but
7,were too
7,he says
7,is just
7,and like
7,he said
7,pleasantly surprised
7,husband and
7,but since
7,are slim
7,don like
7,for an
7,on time
7,this one
7,very pleased
7,tight not
7,were not
7,for this
7,for casual
7,is awesome
7,than what
7,looks like
7,me perfectly
7,are soft
7,little tighter
7,the comfort
6,but for
6,30 but
6,burnt orange
6,aren too
6,other pair
6,because these
6,these things
6,my waist
6,when it
6,of slim
6,the 34
6,but am
6,but after
6,and how
6,not even
6,when ordered
6,fit love
6,quite bit
6,little too
6,it good
6,fit of
6,expected but
6,to it
6,my thighs
6,lbs and
6,sure how
6,hard time
6,was surprised
6,jeans as
6,perfect just
6,and comfort
6,but very
6,well with
6,it the
6,very very
6,fits as
6,perfectly they
6,well the
6,out on
6,it so
6,only issue
6,it smells
6,and did
6,out in
6,larger than
6,them up
6,little big
6,great value
6,really likes
6,34 length
6,as soon
6,skinny jean
6,for pair
6,than my
6,there is
6,tell you
6,of zlz
6,likes them
6,tend to
6,waist with
6,la tela
6,it wasn
6,could be
6,skinny and
6,large but
6,incredibly comfortable
6,stars because
6,it true
6,even the
6,flexible and
6,than any
6,buy it
6,not to
6,and durable
6,american eagle
6,were way
6,it really
6,like this
6,and flexible
6,and for
6,really stretchy
6,for it
6,my boyfriend
6,what wanted
6,great material
6,my body
6,little loose
6,great just
6,be getting
6,soon as
6,be happier
6,slim fitting
6,not fit
6,38 and
6,for now
6,but had
6,amazing jeans
6,my purchase
6,paid for
6,but other
6,time finding
6,31 waist
6,my opinion
6,and everything
6,them that
6,what expected
6,not what
6,buying them
6,very disappointed
6,ve worn
6,exactly as
6,but ordered
6,of this
6,my butt
6,great pair
6,great on
6,yet but
6,has been
6,tight fit
6,and at
6,return them
6,and skinny
6,fact that
6,on them
6,have pair
6,stylish and
6,said they
6,smell of
6,too small
6,you won
6,do have
6,the inseam
6,good material
6,of money
6,the jean
6,bought this
6,and waist
6,go with
6,first but
6,recommend them
6,feel of
6,good they
6,have very
6,the photo
6,good the
6,have bought
6,third pair
6,smell is
6,soft stretchy
6,recommend these
6,the past
6,purplish red
6,if your
6,though they
6,the stretchiness
6,bought size
6,good in
6,good as
6,washes the
6,same size
6,turned out
6,bit loose
6,your size
6,colors the
6,loose but
6,wear these
6,strong chemical
6,more for
6,will not
6,is stretchy
6,of it
6,this jeans
6,pants just
6,and stylish
6,and style
6,this review
6,definitely recommend
6,few times
6,big but
6,come out
6,how well
6,much better
6,ordered my
6,the stretchy
6,are by
6,pretty much
6,all over
6,stretchy they
6,few more
6,recommend it
6,fast shipping
6,like leggings
6,the dryer
6,are made
6,fit even
6,price is
6,jeans love
6,one thing
6,loves the
6,wash and
6,hug your
6,is amazing
6,like jeans
6,got my
6,have some
6,the seller
6,he really
6,you ll
6,does not
6,old son
6,black jean
6,so can
6,another color
6,up in
6,also very
6,they also
6,so bought
6,leg and
6,now have
6,one pair
6,made of
6,the sizing
6,olive grey
6,length was
6,regular size
6,the end
6,so bad
6,color of
6,normal size
6,was so
6,feels like
6,have an
6,on jeans
6,length of
6,the pictures
6,size 31
6,or something
5,likes the
5,this item
5,and didn
5,fitting but
5,close to
5,ordered 30
5,stretchy jeans
5,waste of
5,buying another
5,sizes down
5,like you
5,as long
5,these days
5,stretchy fabric
5,feels very
5,perfectly the
5,fit with
5,of what
5,sizes smaller
5,as skinny
5,order another
5,color it
5,regular jeans
5,plenty of
5,everything about
5,cold water
5,feel good
5,time to
5,levi jeans
5,length for
5,of compliments
5,way it
5,feel the
5,few months
5,fits very
5,buy them
5,as you
5,continue to
5,have small
5,wear and
5,not super
5,let me
5,every day
